,Name_left,AuthorId,PaperYear,PaperId,Year_paper,Name_right,CitesFrom,Year_citation,PaperCount
65,David Yanagizawa-Drott,2039376829,2023,3177007051.0,2012.0,David Yanagizawa-Drott,3124275302.0,2016.0,844
7,Frederico Finan,2798753125,2023,2135877876.0,2013.0,Frederico Finan,2978120894.0,2019.0,1
8,Bruce Sacerdote,2126682900,2023,3171303119.0,2020.0,Bruce Sacerdote,3214367469.0,2021.0,12385
9,Ned Augenblick,2007617668,2023,3192017286.0,2020.0,Ned Augenblick,3208005629.0,2021.0,412
11,Tomasz Strzalecki,64256269,2023,3131911343.0,2013.0,Tomasz Strzalecki,2552029694.0,2016.0,794
16,Lawrence F. Katz,2115544438,2023,3202693413.0,2005.0,Lawrence F. Katz,3123967604.0,2007.0,41205
18,Trevon Logan,2188138613,2023,2465387065.0,2009.0,Trevon Logan,2533229414.0,2017.0,3
20,Alp Simsek,2100183006,2023,3157599947.0,2019.0,Alp Simsek,3148095034.0,2021.0,1691
28,Sule Alan,2227649049,2023,3200140369.0,2021.0,Sule Alan,3201336456.0,2021.0,850
32,Jesse M. Shapiro,2126628856,2023,3151079115.0,2003.0,Jesse M. Shapiro,3174723769.0,2021.0,8989
35,Emily Oster,2084192368,2023,3210073824.0,2021.0,Emily Oster,3212464278.0,2021.0,4025
36,Matthew Gentzkow,803871336,2023,3150341817.0,2019.0,Matthew Gentzkow,3136246781.0,2021.0,9023
42,John Van Reenen,2118787236,2023,3201622861.0,2002.0,John Van Reenen,2015752048.0,2005.0,26172
46,David Atkin,2032812465,2023,3133950289.0,2019.0,David Atkin,3196845972.0,2022.0,2686
52,Xavier Gabaix,2908203083,2023,2907832692.0,2007.0,Xavier Gabaix,3182436328.0,2021.0,46
54,Robert J. Barro,548446481,2023,3205523129.0,1995.0,Robert J. Barro,3191805115.0,2021.0,84875
56,Natalie Bau,2127184071,2023,3172965259.0,2020.0,Natalie Bau,3205374769.0,2021.0,96
60,Florian Zimmermann,3037943673,2023,3083747945.0,2020.0,Florian Zimmermann,3202566261.0,2021.0,69
61,Reed Walker,2686933604,2023,3144472254.0,2017.0,Reed Walker,2808971327.0,2018.0,1332
64,Nicholas Barberis,294627858,2023,3175078783.0,2018.0,Nicholas Barberis,3135135585.0,2021.0,16906
68,Sascha O. Becker,2148864036,2023,3202728552.0,2019.0,Sascha O. Becker,3130364263.0,2021.0,7487
94,Loukas Karabarbounis,283515383,2023,3199906481.0,2017.0,Loukas Karabarbounis,3197966657.0,2021.0,2419
