,AuthorId,PaperId,Year,Name,NormalizedName
93,664019491.0,2887785480,2021,Lance Lochner,lance lochner
94,664019491.0,2887847202,2012,Lance Lochner,lance lochner
95,664019491.0,2890083574,2011,Lance Lochner,lance lochner
96,664019491.0,2890589312,2011,Lance Lochner,lance lochner
97,664019491.0,2890942453,2018,Lance Lochner,lance lochner
98,664019491.0,2890986294,2004,Lance Lochner,lance lochner
99,664019491.0,2979520020,2019,Lance Lochner,lance lochner
100,664019491.0,3003675983,2019,Lance Lochner,lance lochner
101,664019491.0,3008506374,2010,Lance Lochner,lance lochner
102,664019491.0,3022576169,1998,Lance Lochner,lance lochner
2888,1877272218.0,3022576169,1998,James J. Heckman,james j heckman
103,664019491.0,3023722429,2015,Lance Lochner,lance lochner
104,664019491.0,3042331673,2019,Lance Lochner,lance lochner
105,664019491.0,3080302856,2021,Lance Lochner,lance lochner
106,664019491.0,3085418159,2020,Lance Lochner,lance lochner
107,664019491.0,3086562195,2020,Lance Lochner,lance lochner
108,664019491.0,3093578455,2020,Lance Lochner,lance lochner
109,664019491.0,3094239129,2020,Lance Lochner,lance lochner
110,664019491.0,3121142346,2005,Lance Lochner,lance lochner
2910,1877272218.0,3121142346,2005,James J. Heckman,james j heckman
111,664019491.0,3121406487,2013,Lance Lochner,lance lochner
112,664019491.0,3121557545,2005,Lance Lochner,lance lochner
2934,1877272218.0,3121557545,2005,James J. Heckman,james j heckman
113,664019491.0,3121561089,2008,Lance Lochner,lance lochner
114,664019491.0,3121561089,2008,Lance Lochner,lance lochner
2935,1877272218.0,3121561089,2008,James J. Heckman,james j heckman
115,664019491.0,3121601334,2007,Lance Lochner,lance lochner
116,664019491.0,3121601338,1998,Lance Lochner,lance lochner
2941,1877272218.0,3121601338,1998,James J. Heckman,james j heckman
117,664019491.0,3121853687,2003,Lance Lochner,lance lochner
118,664019491.0,3121892815,2008,Lance Lochner,lance lochner
119,664019491.0,3121892815,2008,Lance Lochner,lance lochner
120,664019491.0,3122030681,2011,Lance Lochner,lance lochner
121,664019491.0,3122179606,2016,Lance Lochner,lance lochner
122,664019491.0,3122509370,2010,Lance Lochner,lance lochner
123,664019491.0,3122570209,1998,Lance Lochner,lance lochner
2979,1877272218.0,3122570209,1998,James J. Heckman,james j heckman
124,664019491.0,3122765483,1999,Lance Lochner,lance lochner
125,664019491.0,3122840453,2011,Lance Lochner,lance lochner
126,664019491.0,3122840453,2011,Lance Lochner,lance lochner
127,664019491.0,3122978317,2020,Lance Lochner,lance lochner
128,664019491.0,3123060888,2001,Lance Lochner,lance lochner
129,664019491.0,3123083564,2011,Lance Lochner,lance lochner
130,664019491.0,3123083564,2011,Lance Lochner,lance lochner
131,664019491.0,3123104738,2017,Lance Lochner,lance lochner
132,664019491.0,3123124688,2005,Lance Lochner,lance lochner
3007,1877272218.0,3123124688,2005,James J. Heckman,james j heckman
133,664019491.0,3123150236,2011,Lance Lochner,lance lochner
134,664019491.0,3123226956,2007,Lance Lochner,lance lochner
135,664019491.0,3123226956,2007,Lance Lochner,lance lochner
136,664019491.0,3123459357,2010,Lance Lochner,lance lochner
137,664019491.0,3123686286,2011,Lance Lochner,lance lochner
138,664019491.0,3123686286,2011,Lance Lochner,lance lochner
139,664019491.0,3123931663,2002,Lance Lochner,lance lochner
3043,1877272218.0,3123931663,2002,James J. Heckman,james j heckman
140,664019491.0,3123941499,2018,Lance Lochner,lance lochner
141,664019491.0,3123941499,2018,Lance Lochner,lance lochner
142,664019491.0,3124077527,2002,Lance Lochner,lance lochner
143,664019491.0,3124129065,2016,Lance Lochner,lance lochner
144,664019491.0,3124178781,2004,Lance Lochner,lance lochner
145,664019491.0,3124211512,2005,Lance Lochner,lance lochner
3062,1877272218.0,3124211512,2005,James J. Heckman,james j heckman
